region,poverty_percent,income_per_capita,grp_per_capita,retail_turnover_per_capita,year,workers_percent,disabled_total,births,morbidity_rate_2020,несовершеннолетние,ранее_совершавшие,ранее_судимые,группа_лиц,группа_лиц_предварительный_сговор,организованная_группа,преступное_сообщество,в_состоянии_опьянения_всего,алкогольное_опьянение,наркотическое_опьянение,housing_satisfied_pct,housing_area_total_per_person,housing_area_living_per_person,housing_rooms_per_household,welfare_expense_share,poor_total_pct,poor_children_pct,poor_working_pct,poor_pensioners_pct,population_2020,child_mortality_total_2020
Республика Калмыкия,22.7,19811.0,344933.1,86002.0,2020,76.0,21371.0,2772.0,67683.97,69.0,1280.0,572.0,17.0,54.0,18.0,1.0,673.0,15.0,1.0,79.3,30.7,20.2,3.1,24.3,100.0,33.8,65.9,0.3,271135.0,8.0
Республика Карелия,15.1,32583.0,522245.3,226569.0,2020,85.24,60900.0,5199.0,118516.01,498.0,4313.0,2307.0,16.0,442.0,97.0,44.0,2440.0,52.0,11.0,78.4,23.2,17.1,2.4,24.2,100.0,39.0,58.1,3.0,614064.0,23.0
Республика Коми,15.3,36677.0,749219.3,201675.0,2020,89.94,61858.0,7576.0,116482.33,507.0,6457.0,4045.0,57.0,434.0,160.0,19.0,4150.0,37.0,1.0,80.5,21.9,15.5,2.3,22.7,100.0,40.1,53.3,6.6,820473.0,18.0
Республика Крым,17.2,22950.0,270363.8,148071.0,2020,100.0,124348.0,18868.0,49221.4,396.0,6678.0,3743.0,23.0,825.0,106.0,17.0,2705.0,72.0,0.0,84.2,27.5,19.0,2.6,15.5,100.0,48.2,50.1,1.7,1912622.0,102.0
Республика Марий Эл,19.5,21264.0,290803.3,134692.0,2020,82.84,62219.0,6640.0,99783.61,175.0,2273.0,1098.0,4.0,261.0,24.0,4.0,1580.0,9.0,0.0,81.0,24.1,16.5,2.4,22.4,100.0,32.8,61.5,5.8,679417.0,31.0
Республика Мордовия,17.6,20631.0,342811.2,127327.0,2020,90.9,68736.0,5556.0,67540.22,163.0,3449.0,1866.0,21.0,311.0,297.0,40.0,1890.0,56.0,0.0,86.3,26.2,20.0,2.7,22.5,100.0,26.8,61.2,12.1,790197.0,17.0
Республика Саха,17.3,46338.0,1168152.5,250679.0,2020,88.6,53206.0,12955.0,114795.36,335.0,4479.0,2183.0,43.0,303.0,132.0,7.0,4092.0,28.0,0.0,82.1,23.5,16.5,2.2,16.8,100.0,44.2,50.7,5.1,971996.0,67.0
Республика Северная Осетия-Алания,13.9,28152.0,267814.4,163468.0,2020,73.72,61912.0,8157.0,74569.82,70.0,2972.0,2008.0,14.0,202.0,40.0,1.0,436.0,60.0,0.0,68.8,23.7,16.4,3.1,23.5,100.0,34.8,58.4,6.8,696837.0,33.0
Республика Татарстан,6.6,35635.0,675621.4,238322.0,2020,97.5,282412.0,41597.0,81676.85,873.0,15265.0,8444.0,65.0,1659.0,196.0,9.0,8246.0,423.0,0.0,79.2,23.7,16.2,2.5,13.7,100.0,42.0,50.7,7.3,3902888.0,170.0
Республика Тыва,31.7,18972.0,251799.9,76921.0,2020,58.2,20983.0,6582.0,62468.22,258.0,2540.0,1284.0,17.0,159.0,6.0,1.0,2074.0,12.0,0.0,72.5,18.8,13.6,2.8,23.8,100.0,45.0,52.4,2.6,327383.0,36.0
Республика Хакасия,18.5,23837.0,500422.8,175577.0,2020,82.02,27387.0,5360.0,88244.73,238.0,4785.0,2507.0,17.0,239.0,23.0,24.0,2651.0,50.0,0.0,71.2,25.0,17.9,2.6,24.1,100.0,43.2,54.3,2.4,534262.0,21.0
Ростовская область,13.0,31427.0,403949.1,232860.0,2020,87.54,349972.0,36484.0,81309.39,848.0,16524.0,9758.0,87.0,2372.0,100.0,0.0,5731.0,103.0,1.0,83.6,25.8,18.2,2.8,27.8,100.0,43.9,54.5,1.6,4197821.0,200.0
Рязанская область,12.8,27312.0,412845.1,196393.0,2020,87.02,130493.0,8701.0,73084.38,192.0,3408.0,1822.0,13.0,476.0,12.0,6.0,1704.0,27.0,0.0,90.7,27.5,19.0,2.4,22.0,100.0,37.0,59.7,3.3,1108847.0,46.0
Самарская область,12.3,29893.0,505093.4,213032.0,2020,100.0,209505.0,27981.0,110567.83,973.0,15019.0,9180.0,41.0,2648.0,239.0,35.0,5540.0,220.0,3.0,79.6,24.6,16.9,2.4,23.4,100.0,36.9,53.6,9.5,3179532.0,130.0
Санкт-Петербург,5.9,49207.0,971158.0,283494.0,2020,100.0,572401.0,55439.0,104974.46,443.0,10395.0,6062.0,71.0,1484.0,375.0,20.0,3099.0,457.0,0.0,82.0,25.1,15.7,2.1,19.8,100.0,0.0,0.0,0.0,5398064.0,191.0
Саратовская область,14.8,24046.0,358480.4,164665.0,2020,81.14,135895.0,18643.0,79603.07,459.0,9113.0,5259.0,47.0,1024.0,71.0,30.0,5132.0,109.0,0.0,81.3,23.7,17.8,2.5,27.7,100.0,39.0,58.5,2.5,2421895.0,61.0
Сахалинская область,7.7,60770.0,2059206.5,338787.0,2020,100.0,21626.0,5591.0,80788.1,250.0,3047.0,1607.0,21.0,332.0,52.0,0.0,1793.0,58.0,0.0,84.3,22.5,17.2,2.1,16.5,100.0,44.9,43.0,12.1,488257.0,25.0
Свердловская область,9.0,37374.0,588270.0,259875.0,2020,94.38,272579.0,43988.0,76260.56,1613.0,20390.0,12233.0,90.0,2547.0,233.0,4.0,11736.0,146.0,6.0,81.1,22.8,15.8,2.2,23.5,100.0,46.3,51.5,2.2,4310681.0,182.0
Севастополь,11.0,29957.0,295304.9,141383.0,2020,100.0,20372.0,4225.0,58453.0,71.0,1089.0,586.0,10.0,164.0,11.0,0.0,662.0,22.0,0.0,73.5,21.5,13.7,2.2,13.3,100.0,45.2,52.7,2.1,449138.0,15.0
Смоленская область,15.6,28152.0,386274.8,186156.0,2020,82.22,74313.0,6552.0,68301.99,266.0,4409.0,2446.0,25.0,556.0,65.0,7.0,2274.0,26.0,0.0,86.8,25.3,19.4,2.3,27.2,100.0,34.7,53.3,12.0,934889.0,39.0
Ставропольский край,13.8,23911.0,308476.2,185994.0,2020,78.18,211291.0,27485.0,63022.92,602.0,10722.0,6609.0,148.0,937.0,209.0,176.0,3052.0,75.0,4.0,82.8,26.9,19.0,2.8,30.8,100.0,39.2,58.9,1.9,2803573.0,138.0
Тамбовская область,10.8,27889.0,378455.8,198282.0,2020,90.36,108693.0,7433.0,59000.9,208.0,5822.0,3167.0,22.0,495.0,30.0,98.0,2705.0,21.0,0.0,84.1,27.0,19.7,2.5,23.9,100.0,33.5,58.9,7.6,1006748.0,24.0
Тверская область,11.4,27681.0,391722.2,199736.0,2020,97.74,96974.0,10075.0,96995.03,375.0,4893.0,2892.0,31.0,834.0,35.0,0.0,2950.0,57.0,0.0,84.0,27.2,17.5,2.2,22.5,100.0,31.0,65.1,3.8,1260379.0,45.0
Томская область,14.4,28857.0,518179.5,162359.0,2020,77.2,59672.0,9940.0,69819.45,397.0,6940.0,3744.0,34.0,464.0,45.0,3.0,3242.0,41.0,1.0,88.1,25.7,16.9,2.3,23.5,100.0,42.2,54.2,3.6,1079271.0,45.0
Тульская область,10.1,29385.0,486544.2,205652.0,2020,91.1,145762.0,10812.0,70337.27,221.0,4365.0,2775.0,19.0,565.0,174.0,1.0,2403.0,40.0,0.0,82.3,23.6,16.6,2.3,23.3,100.0,38.8,56.0,5.3,1466127.0,64.0
Тюменская область,9.6,56395.25,2439663.45,263104.0,2020,100.0,53216.666666666664,92899.0,87454.31,852.0,16414.0,8735.0,74.0,1608.0,157.0,96.0,10555.0,356.0,2.0,79.86666666666666,22.599999999999998,15.833333333333334,2.2333333333333334,16.766666666666666,100.0,47.525,48.95,3.5999999999999996,1878268.0,85.5
Удмуртская Республика,11.9,25449.0,451490.9,160085.0,2020,90.8,103216.0,14545.0,101542.88,550.0,9518.0,5187.0,25.0,805.0,258.0,26.0,6033.0,218.0,0.0,83.3,20.8,14.8,2.4,23.1,100.0,49.9,47.5,2.7,1500955.0,63.0
Ульяновская область,15.0,24590.0,360112.2,165299.0,2020,87.08,110411.0,10346.0,91583.07,299.0,5475.0,3056.0,18.0,351.0,139.0,8.0,2930.0,29.0,0.0,87.7,25.7,17.9,2.4,25.3,100.0,38.4,58.5,3.1,1229824.0,43.0
Хабаровский край,12.0,41740.0,658239.5,277942.0,2020,89.2,66616.0,13739.0,68885.29,586.0,8150.0,3809.0,49.0,666.0,172.0,7.0,3948.0,107.0,2.0,78.5,23.3,15.4,2.2,25.7,100.0,32.7,60.9,6.4,1315643.0,58.0
Челябинская область,12.6,26628.0,467537.3,173367.0,2020,93.96,219869.0,33250.0,94667.24,1714.0,22074.0,11816.0,129.0,2878.0,396.0,22.0,10842.0,274.0,3.0,78.6,23.6,16.0,2.2,24.3,100.0,40.6,53.4,6.0,3466369.0,133.0
Чеченская Республика,20.4,24596.0,171029.5,123955.0,2020,82.56,166283.0,30107.0,80291.4,6.0,894.0,391.0,5.0,31.0,30.0,0.0,153.0,1.0,0.0,80.4,24.6,19.2,4.3,35.1,100.0,43.7,50.1,6.2,1478726.0,181.0
Чувашская Республика,16.8,21155.0,287210.3,141564.0,2020,81.92,77194.0,11306.0,101145.55,358.0,4786.0,2626.0,16.0,568.0,500.0,239.0,2495.0,175.0,0.0,72.0,20.7,14.2,2.3,24.9,100.0,22.2,73.6,4.2,1217818.0,24.0
Чукотский автономный округ,8.0,89541.0,2404271.2,217089.0,2020,100.0,1638.0,537.0,117093.55,15.0,322.0,143.0,3.0,11.0,0.0,0.0,282.0,0.0,0.0,80.75,23.7,16.95,2.4,6.4,100.0,0.0,0.0,0.0,50288.0,8.0
Ярославская область,9.9,29514.0,495102.2,204406.0,2020,92.98,100466.0,10584.0,83617.51,269.0,4742.0,2620.0,25.0,590.0,83.0,0.0,2488.0,143.0,0.0,75.8,23.3,15.8,2.2,23.5,100.0,31.9,65.8,2.3,1253389.0,40.0
